Category: All categories

Week,Netflix: (United States),Hulu: (United States),Television show: (United States)
2016-06-05,50,8,43
2016-06-12,49,8,44
2016-06-19,51,8,43
2016-06-26,52,8,44
2016-07-03,52,8,43
2016-07-10,50,8,43
2016-07-17,51,8,44
2016-07-24,50,8,43
2016-07-31,52,9,43
2016-08-07,45,8,38
2016-08-14,48,8,38
2016-08-21,49,8,41
2016-08-28,52,7,42
2016-09-04,53,7,47
2016-09-11,47,7,44
2016-09-18,49,9,52
2016-09-25,52,9,45
2016-10-02,53,9,45
2016-10-09,48,9,46
2016-10-16,49,9,42
2016-10-23,47,9,44
2016-10-30,48,8,41
2016-11-06,44,7,37
2016-11-13,46,8,42
2016-11-20,56,8,42
2016-11-27,51,8,41
2016-12-04,48,7,40
2016-12-11,50,7,42
2016-12-18,57,8,43
2016-12-25,65,9,47
2017-01-01,63,10,56
2017-01-08,56,9,54
2017-01-15,57,9,51
2017-01-22,51,9,50
2017-01-29,49,8,47
2017-02-05,49,8,47
2017-02-12,46,8,44
2017-02-19,47,8,44
2017-02-26,47,11,46
2017-03-05,46,8,45
2017-03-12,48,8,47
2017-03-19,54,8,44
2017-03-26,52,9,46
2017-04-02,51,8,43
2017-04-09,50,8,43
2017-04-16,48,8,42
2017-04-23,46,9,43
2017-04-30,48,11,44
2017-05-07,46,9,43
2017-05-14,46,8,44
2017-05-21,48,8,44
2017-05-28,51,9,44
2017-06-04,48,8,43
2017-06-11,48,9,42
2017-06-18,51,9,45
2017-06-25,51,9,47
2017-07-02,53,10,47
2017-07-09,50,10,47
2017-07-16,50,10,46
2017-07-23,53,9,47
2017-07-30,52,10,48
2017-08-06,50,9,45
2017-08-13,49,9,44
2017-08-20,49,9,41
2017-08-27,51,9,41
2017-09-03,50,10,41
2017-09-10,47,11,40
2017-09-17,47,12,44
2017-09-24,48,12,48
2017-10-01,48,13,43
2017-10-08,52,12,43
2017-10-15,49,11,42
2017-10-22,50,11,40
2017-10-29,51,10,40
2017-11-05,49,11,40
2017-11-12,51,11,41
2017-11-19,59,12,43
2017-11-26,50,11,40
2017-12-03,54,11,39
2017-12-10,53,11,38
2017-12-17,59,11,41
2017-12-24,72,13,47
2017-12-31,70,14,53
2018-01-07,59,13,49
2018-01-14,59,13,51
2018-01-21,55,15,48
2018-01-28,53,12,46
2018-02-04,52,14,44
2018-02-11,52,12,42
2018-02-18,54,11,42
2018-02-25,54,11,45
2018-03-04,56,12,44
2018-03-11,53,11,45
2018-03-18,54,11,44
2018-03-25,55,12,48
2018-04-01,55,11,45
2018-04-08,51,12,42
2018-04-15,51,12,41
2018-04-22,50,13,39
2018-04-29,49,12,38
2018-05-06,47,13,43
2018-05-13,52,11,44
2018-05-20,58,12,40
2018-05-27,57,13,47
2018-06-03,52,12,42
2018-06-10,56,12,43
2018-06-17,52,12,46
2018-06-24,52,12,45
2018-07-01,56,14,47
2018-07-08,49,12,45
2018-07-15,52,12,46
2018-07-22,55,13,47
2018-07-29,55,13,45
2018-08-05,52,12,45
2018-08-12,52,11,45
2018-08-19,52,11,44
2018-08-26,51,12,43
2018-09-02,54,14,44
2018-09-09,49,14,43
2018-09-16,51,14,45
2018-09-23,50,18,50
2018-09-30,48,15,44
2018-10-07,50,15,44
2018-10-14,49,14,42
2018-10-21,53,13,42
2018-10-28,56,13,40
2018-11-04,48,13,40
2018-11-11,48,12,40
2018-11-18,56,18,42
2018-11-25,49,24,39
2018-12-02,53,13,39
2018-12-09,52,13,38
2018-12-16,59,13,40
2018-12-23,100,17,46
2018-12-30,89,17,53
2019-01-06,69,16,51
2019-01-13,72,15,49
2019-01-20,72,17,49
2019-01-27,66,15,45
2019-02-03,56,14,45
